policy_number,inception_date,policy_holder_id,premium_amount,region,expiration_date
C0000074,2018-10-22,51688,16783.27901684951,West,2019-10-22
C0000075,2023-03-23,74288,12088.585178558977,West,2024-03-23
C0000076,2019-01-18,61195,24515.74982796184,South,2020-01-18
C0000077,2024-07-31,30581,9251.023610909228,South,2025-07-31
C0000078,2021-12-31,62648,16003.231968128548,East,2022-12-31
C0000079,2017-02-14,40087,14662.395216911682,South,2018-02-14
C0000080,2015-02-04,59930,14632.781496346792,North,2016-02-04
C0000081,2021-03-03,42981,15919.348874412197,North,2022-03-03
C0000082,2023-08-19,79298,28716.067001085456,West,2024-08-19
C0000083,2020-05-09,56167,25493.189720734397,North,2021-05-09
C0000084,2019-05-05,85304,18480.673612094048,East,2020-05-05
C0000085,2024-06-21,53408,28003.563293924504,South,2025-06-21
C0000086,2023-06-01,49499,14491.402962696382,South,2024-06-01
C0000087,2017-10-18,62269,13912.110298136247,South,2018-10-18
C0000088,2024-06-23,48559,25824.501680084897,North,2025-06-23
C0000089,2022-02-26,84319,23715.7098120769,South,2023-02-26
C0000090,2018-02-03,58787,17359.94776923167,West,2019-02-03
C0000091,2019-02-09,45488,14176.794715307116,West,2020-02-09
C0000092,2016-12-03,84441,30881.715690208093,West,2017-12-03
C0000093,2021-09-15,84663,11896.139738084823,North,2022-09-15
C0000094,2022-08-09,32431,16655.107737698687,South,2023-08-09
C0000095,2019-04-29,71681,21345.003395206575,North,2020-04-29
C0000096,2015-06-11,73483,34222.87101017893,South,2016-06-11
C0000097,2015-07-21,59153,22357.789518121477,East,2016-07-21
C0000098,2020-06-04,16368,23019.371876288893,East,2021-06-04
C0000099,2017-09-22,37424,16800.85219429216,North,2018-09-22
C0000100,2021-05-06,55004,23636.421081851848,West,2022-05-06
C0000101,2017-03-26,93869,20570.0784462456,North,2018-03-26
C0000102,2024-02-25,98652,12375.33475369589,West,2025-02-25
C0000103,2016-03-31,66985,25282.821602312342,South,2017-03-31
C0000104,2024-09-03,60069,26665.290487941817,West,2025-09-03
C0000105,2018-06-29,62326,25362.05693398775,West,2019-06-29
C0000106,2017-10-13,91061,20130.64133321274,South,2018-10-13
C0000107,2021-06-01,33398,14960.174786579557,East,2022-06-01
C0000108,2022-07-30,60861,9969.09294732032,South,2023-07-30
C0000109,2015-12-04,85897,20891.884928523144,North,2016-12-04
C0000110,2017-05-28,91905,27572.732705766997,North,2018-05-28
C0000111,2017-12-12,78577,26867.1529818694,North,2018-12-12
C0000112,2017-03-02,75641,25458.930216361852,North,2018-03-02
C0000113,2021-03-14,19078,19491.55758480094,North,2022-03-14
C0000114,2017-02-02,35003,27618.448496877176,East,2018-02-02
C0000115,2021-02-13,72768,26298.00992775743,East,2022-02-13
C0000116,2016-01-15,61047,17557.033744837932,West,2017-01-15
C0000117,2016-05-07,81626,24415.645260085374,North,2017-05-07
C0000118,2023-07-10,67660,16970.167972418836,South,2024-07-10
C0000119,2018-03-26,59786,23435.500556516734,North,2019-03-26
C0000120,2020-08-24,11925,13497.570789406805,East,2021-08-24
C0000121,2015-03-06,93976,13812.599438451762,North,2016-03-06
C0000122,2022-01-12,36015,27377.098291062437,East,2023-01-12
C0000123,2018-09-29,43320,26403.927226788805,West,2019-09-29
C0000124,2018-02-26,74881,24102.804022036056,West,2019-02-26
C0000125,2020-07-20,36289,20463.34766918063,West,2021-07-20
C0000126,2022-05-19,13389,9726.580462365233,East,2023-05-19
C0000127,2019-02-04,35683,19487.669642778157,North,2020-02-04
C0000128,2023-08-01,23629,22839.686783226873,North,2024-08-01
C0000129,2018-03-08,71550,16976.410227931538,South,2019-03-08
C0000130,2019-03-03,34826,16094.803616842357,East,2020-03-03
C0000131,2022-03-25,36630,30740.18749469902,South,2023-03-25
C0000132,2016-01-27,56163,19573.136190973506,West,2017-01-27
C0000133,2019-08-26,76435,22843.880551502563,North,2020-08-26
C0000134,2016-02-23,21653,25140.60226964116,East,2017-02-23
C0000135,2021-05-25,37961,14758.417501315773,South,2022-05-25
C0000136,2016-01-14,91941,21119.71464948225,South,2017-01-14
C0000137,2019-12-02,84137,29610.767715752387,South,2020-12-02
C0000138,2024-10-01,43662,34398.4558746748,North,2025-10-01
C0000139,2021-03-28,66446,20170.590751970758,North,2022-03-28
C0000140,2023-05-24,31288,18557.27057141174,North,2024-05-24
C0000141,2020-09-19,46877,21605.587060661073,East,2021-09-19
C0000142,2023-06-27,25313,21441.66164130712,North,2024-06-27
C0000143,2020-12-22,90885,30212.995332789516,East,2021-12-22
C0000144,2015-07-20,82715,14780.772995703994,South,2016-07-20
C0000145,2020-02-07,20326,18325.3032335285,South,2021-02-07
C0000146,2017-02-18,11560,14254.923031622167,West,2018-02-18
C0000147,2023-02-25,89148,14711.305138881284,North,2024-02-25
C0000148,2023-07-02,93186,22314.058940023344,South,2024-07-02
C0000149,2023-07-17,36745,25411.506252296967,North,2024-07-17
C0000150,2016-05-17,41890,16402.392574767087,East,2017-05-17
C0000151,2021-09-20,30022,25125.246008401027,South,2022-09-20
C0000152,2024-12-24,62579,27818.97434174849,North,2025-12-24
C0000153,2019-10-18,80316,35611.06914427381,South,2020-10-18
C0000154,2017-03-15,93847,20351.788106508797,South,2018-03-15
C0000155,2020-11-16,38380,16449.833618521257,North,2021-11-16
C0000156,2022-06-24,12356,14753.836365385005,South,2023-06-24
C0000157,2020-03-10,80326,14320.710291181655,South,2021-03-10
C0000158,2022-08-05,99899,28996.610140260393,South,2023-08-05
C0000159,2019-04-20,30049,12650.745144359522,South,2020-04-20
C0000160,2017-08-18,85717,28719.29701575718,East,2018-08-18
C0000161,2022-04-14,26082,15359.165736925463,South,2023-04-14
C0000162,2019-01-25,10661,16227.10288117171,West,2020-01-25
C0000163,2022-05-14,47412,19044.495020602935,South,2023-05-14
C0000164,2017-10-25,12920,16137.541957153499,North,2018-10-25
C0000165,2024-01-03,70315,26359.761123373264,West,2025-01-03
C0000166,2016-05-17,89561,34337.838404298884,East,2017-05-17
C0000167,2022-09-15,18946,16362.875401222795,West,2023-09-15
C0000168,2016-02-02,55500,17506.519760124535,West,2017-02-02
C0000169,2017-05-20,26309,18977.39395258224,West,2018-05-20
C0000170,2022-10-13,65230,23442.761051366917,North,2023-10-13
C0000171,2016-01-28,40027,19033.47816493672,North,2017-01-28
C0000172,2015-07-26,82541,30217.521683546936,North,2016-07-26
C0000173,2017-11-04,69321,28112.99418557564,East,2018-11-04
C0000174,2020-02-25,10956,13965.723622794023,North,2021-02-25
C0000175,2024-12-04,84131,23301.906253739075,North,2025-12-04
C0000176,2023-01-18,57908,31448.349203397414,West,2024-01-18
C0000177,2019-01-24,88339,17181.108501930707,North,2020-01-24
C0000178,2024-12-25,35963,18246.353639307188,South,2025-12-25
C0000179,2017-05-13,49443,17010.54799030083,North,2018-05-13
C0000180,2022-08-22,49063,17117.85441034119,East,2023-08-22
C0000181,2024-01-26,90818,12081.909551200253,East,2025-01-26
C0000182,2016-07-17,14703,13379.855240934274,South,2017-07-17
C0000183,2017-10-17,75128,20399.019513656123,East,2018-10-17
C0000184,2015-04-06,82099,31384.81299756038,East,2016-04-06
C0000185,2020-04-07,35849,16580.652063687645,West,2021-04-07
C0000186,2019-10-24,41860,16435.07104893982,South,2020-10-24
C0000187,2021-12-07,41585,33205.01909790795,West,2022-12-07
C0000188,2024-07-10,32015,14292.965347322268,West,2025-07-10
C0000189,2021-03-28,87539,12108.06515388589,North,2022-03-28
C0000190,2022-08-28,53585,15544.239039047297,South,2023-08-28
C0000191,2019-08-06,36958,16336.622674144372,North,2020-08-06
C0000192,2023-11-17,36017,11798.929365398351,North,2024-11-17
C0000193,2016-06-24,86707,19179.312211398246,West,2017-06-24
C0000194,2017-11-25,55350,26490.299939818276,East,2018-11-25
C0000195,2022-01-16,22201,13550.97213324867,South,2023-01-16
C0000196,2018-03-29,39426,20460.949901702174,East,2019-03-29
C0000197,2019-09-19,27778,22444.047263010307,West,2020-09-19
C0000198,2024-01-28,55241,19437.990773839003,West,2025-01-28
C0000199,2023-08-24,52229,21072.154941705652,West,2024-08-24
C0000200,2019-12-25,96652,21145.833739934522,West,2020-12-25
C0000201,2022-03-10,58364,15618.03496408463,West,2023-03-10
C0000202,2022-06-22,94878,31243.75426295002,West,2023-06-22
C0000203,2022-02-17,67056,28979.00989632447,East,2023-02-17
C0000204,2019-05-17,37490,28480.457211520512,North,2020-05-17
C0000205,2023-05-19,29975,27013.789103671996,East,2024-05-19
C0000206,2022-05-17,36723,12425.500839544306,South,2023-05-17
C0000207,2017-03-06,33279,26313.00843921458,East,2018-03-06
C0000208,2017-11-17,88301,24262.335034669635,West,2018-11-17
C0000209,2019-07-02,21561,12569.680901182774,East,2020-07-02
C0000210,2024-12-06,76061,18685.944579313586,North,2025-12-06
C0000211,2018-09-25,98397,21656.00440707117,South,2019-09-25
C0000212,2020-06-04,59153,32836.47205271888,East,2021-06-04
C0000213,2018-09-16,43142,24770.70929625356,North,2019-09-16
C0000214,2019-07-22,36916,15377.032542392093,East,2020-07-22
C0000215,2019-03-10,74324,33143.985210433,South,2020-03-10
C0000216,2020-07-31,54965,20193.861050610536,East,2021-07-31
C0000217,2024-05-12,14648,18457.898464732618,West,2025-05-12
C0000218,2019-02-05,45133,18067.400951819425,East,2020-02-05
C0000219,2024-01-16,60677,12245.740345367292,North,2025-01-16
C0000220,2021-02-15,80135,19284.735377149984,East,2022-02-15
C0000221,2024-01-10,45046,23138.324179600033,North,2025-01-10
C0000222,2018-11-09,57064,17754.3352007113,South,2019-11-09
C0000223,2018-11-01,79350,22609.73270394991,East,2019-11-01
C0000224,2018-07-30,55893,15377.83827247924,South,2019-07-30
C0000225,2022-05-04,71272,19105.310761318695,South,2023-05-04
C0000226,2022-04-29,77649,21915.777670414736,East,2023-04-29
C0000227,2017-08-30,74674,21097.25598955957,North,2018-08-30
C0000228,2019-11-04,23760,12312.379185466276,South,2020-11-04
C0000229,2018-07-06,31927,17471.009998030477,South,2019-07-06
C0000230,2024-05-23,96475,32966.22656958518,East,2025-05-23
C0000231,2016-12-10,71367,17193.147421683825,East,2017-12-10
C0000232,2019-01-19,22588,20025.109963524203,East,2020-01-19
C0000233,2018-12-05,62233,19418.340301591554,East,2019-12-05
C0000234,2016-10-10,54738,31903.52957625503,East,2017-10-10
C0000235,2015-11-14,43397,29351.837702183337,West,2016-11-14
C0000236,2024-01-10,92189,25393.7738754589,East,2025-01-10
C0000237,2018-06-11,86367,14883.779964335845,North,2019-06-11
C0000238,2016-11-14,81260,22197.943196405122,South,2017-11-14
C0000239,2016-10-25,86619,23632.603052647737,North,2017-10-25
C0000240,2020-06-21,29816,16162.007475375878,North,2021-06-21
C0000241,2024-06-07,52240,15349.602673928237,West,2025-06-07
C0000242,2019-06-20,16276,33239.83364062249,East,2020-06-20
C0000243,2019-02-04,89530,18210.597909913326,South,2020-02-04
C0000244,2024-01-18,33499,32354.003422526195,North,2025-01-18
C0000245,2018-02-10,98576,26879.740125719312,East,2019-02-10
C0000246,2020-01-28,92495,22524.593477785646,East,2021-01-28
C0000247,2019-03-01,81635,22828.372082339774,West,2020-03-01
C0000248,2021-10-25,95112,13093.538351667346,West,2022-10-25
C0000249,2016-07-17,45946,21205.85144113629,West,2017-07-17
C0000250,2018-07-15,65204,30488.539073483804,South,2019-07-15
C0000251,2024-10-21,61886,24450.399908758132,North,2025-10-21
C0000252,2024-06-19,81652,20874.863402802504,West,2025-06-19
C0000253,2024-06-20,25563,33308.94167674933,West,2025-06-20
C0000254,2023-09-20,19847,18854.13973214352,West,2024-09-20
C0000255,2019-06-25,36155,16549.866221731823,North,2020-06-25
C0000256,2023-03-19,89671,20871.70253452004,North,2024-03-19
C0000257,2023-08-19,93310,25082.864693013827,West,2024-08-19
C0000258,2016-11-29,77278,11904.38110295437,West,2017-11-29
C0000259,2020-11-30,28309,21708.530937800806,East,2021-11-30
C0000260,2015-01-02,10619,25415.220470487162,West,2016-01-02
C0000261,2016-10-03,93194,18381.638034280106,South,2017-10-03
C0000262,2021-03-17,60108,27780.494865728353,South,2022-03-17
C0000263,2019-05-09,44707,24157.640810850844,West,2020-05-09
C0000264,2017-05-04,30337,37888.95544547467,North,2018-05-04
C0000265,2019-10-26,91537,15911.84581651937,East,2020-10-26
C0000266,2024-01-10,76504,25570.968785454144,North,2025-01-10
C0000267,2021-08-29,57614,14688.245509041657,West,2022-08-29
C0000268,2024-07-06,10281,12275.860654409284,South,2025-07-06
C0000269,2019-07-20,37420,10822.047280901366,East,2020-07-20
C0000270,2018-02-27,90896,23423.550028299138,North,2019-02-27
C0000271,2017-12-12,49030,21063.024190824584,North,2018-12-12
C0000272,2019-09-04,11058,17262.377179025585,West,2020-09-04
C0000273,2022-08-09,96213,11707.075713340872,East,2023-08-09
C0000274,2019-08-23,86260,16201.903465012103,South,2020-08-23
C0000275,2019-09-30,38404,19954.858017084272,West,2020-09-30
C0000276,2018-12-10,39856,25284.60041226291,East,2019-12-10
C0000277,2021-04-13,19200,19831.74617603466,North,2022-04-13
C0000278,2017-04-15,74178,21495.912995465533,West,2018-04-15
C0000279,2024-08-11,43997,17803.676959534852,North,2025-08-11
C0000280,2015-07-22,35611,33683.63064376984,North,2016-07-22
C0000281,2023-11-30,51235,14684.166841801141,West,2024-11-30
C0000282,2015-05-03,45057,16158.936751248128,West,2016-05-03
C0000283,2016-02-05,11239,17193.601328505563,West,2017-02-05
C0000284,2017-02-05,75661,23454.351446094148,West,2018-02-05
C0000285,2015-10-21,55272,14593.654107886852,West,2016-10-21
C0000286,2021-05-16,99393,20758.593347661794,North,2022-05-16
C0000287,2023-01-10,71212,20941.184370648898,South,2024-01-10
C0000288,2015-07-17,25398,16182.611956753171,South,2016-07-17
C0000289,2023-04-18,66503,22004.31475388593,West,2024-04-18
C0000290,2020-04-14,16638,14730.210948692955,North,2021-04-14
C0000291,2024-10-22,16570,14255.210347116026,South,2025-10-22
C0000292,2022-08-31,78785,20534.911711307963,South,2023-08-31
C0000293,2020-12-31,19110,12113.46986438556,South,2021-12-31
C0000294,2016-08-31,89141,10473.03553978556,North,2017-08-31
C0000295,2023-12-17,22115,23384.998131048756,West,2024-12-17
C0000296,2018-02-21,49062,27301.337776573746,West,2019-02-21
C0000297,2015-07-06,32911,17325.922413343505,West,2016-07-06
C0000298,2024-04-20,42556,16310.735740398024,East,2025-04-20
C0000299,2021-11-16,88131,26947.897751716042,East,2022-11-16
C0000300,2024-05-13,11969,14134.000188682194,East,2025-05-13
C0000301,2019-11-30,53753,13239.872672758991,North,2020-11-30
C0000302,2016-10-21,92811,24644.053846658757,South,2017-10-21
C0000303,2022-09-12,14470,19984.484090052436,South,2023-09-12
C0000304,2023-03-22,20225,27431.93217842268,North,2024-03-22
C0000305,2020-05-09,33196,10487.299539552982,North,2021-05-09
C0000306,2021-09-16,23669,13092.53897002551,West,2022-09-16
C0000307,2018-10-01,47380,20016.24790463023,West,2019-10-01
C0000308,2020-06-09,58320,22590.892324500255,East,2021-06-09
C0000309,2019-03-15,57414,25696.21866259309,East,2020-03-15
C0000310,2015-05-27,25577,21003.520187686572,North,2016-05-27
C0000311,2023-10-25,98009,20939.58250627491,East,2024-10-25
C0000312,2022-12-21,65409,17732.945871846136,South,2023-12-21
C0000313,2019-10-01,38625,32121.198207898833,North,2020-10-01
C0000314,2020-01-18,91040,14315.425817841418,North,2021-01-18
C0000315,2016-05-03,34089,22196.85843182821,South,2017-05-03
C0000316,2023-02-24,46487,14818.880402756397,West,2024-02-24
C0000317,2020-05-13,75838,23398.64897906235,West,2021-05-13
C0000318,2019-07-22,60138,14601.721755227705,South,2020-07-22
C0000319,2022-02-11,52823,24912.991902893446,South,2023-02-11
C0000320,2021-07-13,47208,20612.05719011888,East,2022-07-13
C0000321,2022-12-29,64061,33637.33036457917,North,2023-12-29
C0000322,2016-10-02,40659,18319.00099349555,East,2017-10-02
C0000323,2019-12-08,41890,22640.36909290231,South,2020-12-08
C0000324,2021-11-25,89134,15773.760582528304,East,2022-11-25
C0000325,2020-05-23,57055,18281.265989763473,South,2021-05-23
C0000326,2021-01-07,29508,20572.794854454085,East,2022-01-07
C0000327,2018-12-09,52287,12604.813241122485,East,2019-12-09
C0000328,2024-03-23,88916,13026.132613668531,West,2025-03-23
C0000329,2019-06-23,36984,23859.97838997883,South,2020-06-23
C0000330,2015-09-20,18125,19075.764873007625,East,2016-09-20
C0000331,2019-11-23,46059,16682.608358324826,North,2020-11-23
C0000332,2020-12-31,79569,15976.978891958886,East,2021-12-31
C0000333,2021-07-21,27087,16162.570116354496,East,2022-07-21
C0000334,2016-09-15,15704,20614.81383422726,North,2017-09-15
C0000335,2017-10-13,70576,22777.096241569587,South,2018-10-13
C0000336,2024-12-22,83384,10639.915606161425,West,2025-12-22
C0000337,2017-05-30,97128,30450.272342757453,West,2018-05-30
C0000338,2020-08-11,82460,29807.348286241482,West,2021-08-11
C0000339,2023-01-23,37208,9905.085300278772,North,2024-01-23
C0000340,2018-08-20,95150,27605.71260960052,East,2019-08-20
C0000341,2021-04-20,76024,27352.56685091467,South,2022-04-20
C0000342,2016-03-28,49882,19933.034275490674,East,2017-03-28
C0000343,2023-07-06,35923,13505.461165915338,West,2024-07-06
C0000344,2018-03-29,39165,27026.372499262743,East,2019-03-29
C0000345,2023-05-21,77203,18538.977380175806,North,2024-05-21
C0000346,2020-08-18,14114,23497.836995366346,North,2021-08-18
C0000347,2024-01-18,74965,38783.895754936,South,2025-01-18
C0000348,2023-09-06,46321,21494.47114904373,South,2024-09-06
C0000349,2019-08-10,83297,15137.56364761573,West,2020-08-10
C0000350,2022-11-03,35426,18020.777946710838,South,2023-11-03
C0000351,2021-03-05,27772,15727.505354955476,East,2022-03-05
C0000352,2018-02-28,13712,22698.336418028168,North,2019-02-28
C0000353,2016-02-08,11367,15649.272861658648,North,2017-02-08
C0000354,2021-01-08,61924,17294.51318587425,North,2022-01-08
C0000355,2020-10-02,13726,13557.170678258957,South,2021-10-02
C0000356,2023-09-27,99152,19156.05051217353,North,2024-09-27
C0000357,2019-08-24,37723,21015.729034582873,North,2020-08-24
C0000358,2016-09-19,19108,8906.740119201058,North,2017-09-19
C0000359,2016-08-09,87714,21544.418689143866,West,2017-08-09
C0000360,2019-07-07,45643,19658.98826286018,West,2020-07-07
C0000361,2018-12-14,41324,15843.306945225577,South,2019-12-14
C0000362,2018-12-16,93360,36628.74806323653,North,2019-12-16
C0000363,2015-04-14,18927,26570.13071216898,South,2016-04-14
C0000364,2015-09-11,32443,14343.888674777698,North,2016-09-11
C0000365,2024-01-12,89973,25628.776056099232,North,2025-01-12
C0000366,2023-09-19,73449,28950.69306565575,North,2024-09-19
C0000367,2022-01-01,86743,20735.57859968536,South,2023-01-01
C0000368,2019-02-05,70233,22212.99175956884,South,2020-02-05
C0000369,2015-04-09,35537,22059.61852565218,North,2016-04-09
C0000370,2021-01-09,87576,10660.016465482591,East,2022-01-09
C0000371,2020-02-28,32612,18843.79801460108,South,2021-02-28
C0000372,2023-02-09,16471,18551.875117065072,West,2024-02-09
C0000373,2020-04-03,45631,30608.918231978034,South,2021-04-03
C0000374,2017-05-27,41348,22029.07298107093,North,2018-05-27
C0000375,2015-12-04,74732,18228.046645169325,East,2016-12-04
C0000376,2022-11-09,11177,19398.72415538971,North,2023-11-09
C0000377,2023-11-09,14760,27092.59370474986,West,2024-11-09
C0000378,2017-08-14,42779,18856.71949100173,South,2018-08-14
C0000379,2019-09-01,31636,16163.99214226372,South,2020-09-01
C0000380,2015-06-10,91889,18348.247450258314,North,2016-06-10
C0000381,2019-05-23,63551,26428.779901708866,North,2020-05-23
C0000382,2022-10-19,21556,23129.160776803696,West,2023-10-19
C0000383,2016-02-02,37598,20196.818924534426,East,2017-02-02
C0000384,2018-07-24,21563,21109.148207387214,West,2019-07-24
C0000385,2017-03-26,56819,16849.516785002106,East,2018-03-26
C0000386,2019-03-08,83770,18803.817371233607,South,2020-03-08
C0000387,2020-04-03,36966,16334.07512921307,East,2021-04-03
C0000388,2018-11-16,91709,18243.53801082065,East,2019-11-16
C0000389,2018-03-04,69889,29847.413916007517,South,2019-03-04
C0000390,2018-05-03,36987,14423.851313900386,South,2019-05-03
C0000391,2016-02-05,88714,16210.017593426139,South,2017-02-05
C0000392,2016-10-01,68348,13680.275653993785,West,2017-10-01
C0000393,2023-07-02,34596,12819.559542737936,South,2024-07-02
C0000394,2022-06-28,43174,18844.3502363591,North,2023-06-28
C0000395,2016-04-04,74106,16559.53330471606,South,2017-04-04
C0000396,2017-08-12,79967,33809.82363180294,South,2018-08-12
C0000397,2016-04-14,69182,18308.963655463747,South,2017-04-14
C0000398,2024-06-08,97163,29343.28647917333,East,2025-06-08
C0000399,2017-11-11,49310,26646.202988989495,West,2018-11-11
C0000400,2022-08-29,66088,18719.363594488565,South,2023-08-29
C0000401,2019-08-21,18906,37535.43408046853,West,2020-08-21
C0000402,2020-09-16,46914,21602.41074349095,North,2021-09-16
C0000403,2021-03-27,55379,31379.270533753574,North,2022-03-27
C0000404,2024-05-29,88612,30302.30518978429,South,2025-05-29
C0000405,2016-07-16,47650,22570.395558963297,North,2017-07-16
C0000406,2021-10-21,56881,24967.72461424468,West,2022-10-21
C0000407,2019-12-05,56413,24033.91951182131,East,2020-12-05
C0000408,2024-03-08,16012,14139.415056304715,South,2025-03-08
C0000409,2020-09-05,60115,20275.876453510966,North,2021-09-05
C0000410,2015-08-14,17151,27509.155903394138,West,2016-08-14
C0000411,2024-03-02,67716,31503.561918805364,West,2025-03-02
C0000412,2017-03-08,46378,16055.521666359711,North,2018-03-08
C0000413,2021-05-20,52652,23356.93895671043,West,2022-05-20
C0000414,2023-01-05,82430,20853.166036723404,West,2024-01-05
C0000415,2017-08-17,23467,19237.904039420868,South,2018-08-17
C0000416,2019-02-13,41010,22176.773662681455,West,2020-02-13
C0000417,2016-03-28,64691,21277.367395814475,North,2017-03-28
C0000418,2023-05-26,74157,23445.228335204425,South,2024-05-26
C0000419,2017-03-26,22289,30715.26460125057,North,2018-03-26
C0000420,2016-10-20,54976,25216.108040750583,East,2017-10-20
C0000421,2024-10-27,53596,21876.69901926493,North,2025-10-27
C0000422,2016-06-30,33171,34870.187509648065,North,2017-06-30
C0000423,2018-04-30,96365,27805.215187688125,South,2019-04-30
C0000424,2023-07-18,54139,19385.496617377463,West,2024-07-18
C0000425,2024-10-23,58713,13833.713226000607,North,2025-10-23
C0000426,2015-01-17,39734,14818.783281618329,South,2016-01-17
C0000427,2023-11-18,82588,26369.669194310798,East,2024-11-18
C0000428,2018-05-28,73646,16496.54520127105,South,2019-05-28
C0000429,2021-01-14,13654,14729.14343725138,South,2022-01-14
C0000430,2021-11-29,99022,15876.168097420788,West,2022-11-29
C0000431,2017-12-05,28743,16216.50299959636,North,2018-12-05
C0000432,2024-06-06,58368,25724.375909614515,East,2025-06-06
C0000433,2022-01-09,84172,19014.88509085693,South,2023-01-09
C0000434,2020-11-16,16441,13204.165406713411,North,2021-11-16
