payment_id,claim_id,payment_date,payment_amount
P7949ad0264f5,CL0000018,2019-04-27,3976.23
Pb8a8b80a0cc3,CL0000018,2019-11-27,21591.34
P6441bec9c323,CL0000019,2018-11-10,1403.9
P7f450fb53c59,CL0000020,2024-06-28,2105.88
Pa37c887d342d,CL0000021,2016-07-11,3686.84
Pfc967ffdceb4,CL0000021,2016-09-11,2319.64
Pb2818822b730,CL0000021,2017-01-11,3444.55
P7cb19d92b81d,CL0000022,2021-07-07,932.64
P5036fb934302,CL0000022,2021-08-07,1738.6
Pa77eb59536b3,CL0000022,2022-03-07,8505.24
Pd70d94d45959,CL0000023,2022-11-27,231.05
P0b1b312efcad,CL0000023,2023-01-27,1567.65
P728d8d81ab6c,CL0000024,2018-09-20,5829.18
Ped0ba9469332,CL0000024,2019-04-20,877.29
Pf86e9030211f,CL0000024,2019-08-20,1931.73
P35a5b24df9f1,CL0000025,2019-09-10,14839.42
P5a552fa83a8c,CL0000025,2019-11-10,29155.74
P2606406a0778,CL0000025,2021-08-10,24424.0
Pe9274260fdb3,CL0000026,2023-04-20,2327.07
Pab961b2ca3c1,CL0000027,2024-03-24,7245.26
Pd5078a69f6cd,CL0000027,2024-05-24,2662.0
Pe8e162647c1c,CL0000027,2024-10-24,433.47
P0f2792bba75f,CL0000028,2024-01-27,15927.68
P9daa463ed537,CL0000028,2024-04-27,1284.12
P9258d046332c,CL0000028,2024-05-27,535.44
P0a77cb6bbf7f,CL0000028,2024-06-27,302.77
P3d470a8c36cc,CL0000028,2024-12-27,1665.72
P0a190996fb8c,CL0000029,2017-08-16,470.42
Pbce3ad3e3a74,CL0000029,2017-10-16,1371.6
P042ab69fc08a,CL0000029,2018-01-16,429.14
Pfbb4adbae827,CL0000030,2019-10-07,388.36
P4b4deb15b882,CL0000030,2020-06-07,5028.07
P4401fb41cf6c,CL0000030,2020-07-07,1328.88
Pb2b2b978af5d,CL0000033,2022-02-16,7612.28
P91b94c62d31b,CL0000033,2022-08-16,449.16
Pfc6f7c7fe23c,CL0000033,2022-11-16,3311.05
Pafd3d79bee24,CL0000033,2022-12-16,3889.7
Pe6998a438412,CL0000034,2023-07-13,8960.97
P3336abe6c5f1,CL0000034,2024-01-13,7347.16
P3a4d38bfad88,CL0000034,2024-07-13,4228.83
P4e13db9357de,CL0000035,2019-09-26,3421.08
P8aac54e03f2e,CL0000035,2020-09-26,841.23
Pdf9495ea0d8c,CL0000036,2018-07-28,5891.28
P8283b134a37c,CL0000036,2018-08-28,1591.83
P674fa65eb46e,CL0000037,2024-02-05,84698.07
P696cf1294ed9,CL0000037,2024-10-05,62430.21
P14e4f9a82d81,CL0000038,2021-01-16,9931.69
P29de41534e29,CL0000039,2021-06-25,2644.24
Pd15697cf448f,CL0000039,2021-09-25,1299.1
Pb6b774817db3,CL0000039,2022-01-25,355.43
Pb79c9f740ff8,CL0000039,2022-03-25,260.64
P7474c509c170,CL0000040,2024-01-16,1931.26
P8703235cf505,CL0000041,2023-04-18,8474.4
P114c2087a1b1,CL0000041,2023-06-18,5956.13
P53577064fb68,CL0000042,2023-02-25,4912.89
P98f10ab8478f,CL0000042,2023-03-25,10136.53
P99d01b1c3b21,CL0000042,2023-08-25,1718.01
Pdc98a2249674,CL0000042,2023-10-25,492.27
P3aab8bf124f2,CL0000043,2023-07-27,8374.86
P773a55809a9b,CL0000043,2023-08-27,5791.94
P5f0cdd095b17,CL0000043,2023-10-27,255.03
Pedf3db9a1a2b,CL0000043,2024-02-27,2322.05
P9500ed102c8d,CL0000044,2024-02-24,771.93
P632786a05cfc,CL0000044,2024-05-24,3447.29
P79908fa48a1a,CL0000044,2024-06-24,564.37
Pd45940300649,CL0000044,2024-09-24,544.35
P1130ac93597a,CL0000045,2020-01-20,1246.1
P01f99b859259,CL0000045,2020-09-20,10064.49
Pc3044944d9a9,CL0000045,2020-10-20,5312.53
P54762dc17306,CL0000046,2020-04-09,10240.77
P60b2c1ccd78c,CL0000046,2020-08-09,934.91
P2a7e448d5416,CL0000046,2020-12-09,804.14
P616f3a624464,CL0000047,2024-01-22,2523.81
P2625ce1c3a01,CL0000048,2019-06-26,3174.25
Pda990785e77e,CL0000048,2019-11-26,2174.45
P4390b98e1d3a,CL0000050,2022-11-16,2935.54
Paa73a92923ab,CL0000050,2023-03-16,4.76
Pd31cf8dacd0f,CL0000051,2017-12-19,636.75
P2362af230ec9,CL0000051,2018-01-19,1767.36
P4e7362e2c4ac,CL0000052,2021-08-21,13637.57
Pec85a257c8a2,CL0000052,2021-09-21,6648.51
P5b2cf743921f,CL0000052,2022-04-21,476.73
Pd522c5e2df46,CL0000052,2022-05-21,6592.28
P49d2dca8bb0d,CL0000053,2020-06-10,2538.84
P524b41fb670f,CL0000053,2020-10-10,12226.29
P43f00ca9c104,CL0000055,2024-10-16,17840.55
Pfe190a446862,CL0000056,2024-07-06,8321.58
Pbcbcbae48136,CL0000057,2022-06-24,3136.87
Pc73dba9beb2e,CL0000057,2022-07-24,199.98
P8a231eabd224,CL0000058,2022-11-01,1726.17
P88c9f5bec16b,CL0000058,2023-08-01,4194.4
P5d8a584a4c02,CL0000058,2023-11-01,14916.1
Pf815be874833,CL0000059,2024-04-23,713.65
Pf0e3a164eb6b,CL0000059,2024-06-23,2028.37
Pe0522b7a9fa8,CL0000059,2024-07-23,2578.63
Pdf10d252a982,CL0000060,2018-01-07,2648.38
Pcd0f17e689a7,CL0000060,2018-04-07,2585.13
P523c31b64415,CL0000060,2018-07-07,7571.58
P4483291233dd,CL0000061,2018-03-26,2068.58
P563d4b1bee12,CL0000062,2022-03-26,1782.45
P0981d38f384e,CL0000063,2020-05-25,343.3
P038ef0c2b044,CL0000063,2020-06-25,290.8
Ped794bb5171d,CL0000064,2020-09-15,2876.15
Pc11719c0bff7,CL0000064,2020-10-15,1635.02
Pa289642c5d51,CL0000064,2021-06-15,10814.77
P1ac13b423015,CL0000065,2018-09-07,1128.6
Pc367e639cbf8,CL0000065,2018-11-07,141.33
Pcbf03b67ab70,CL0000067,2016-06-14,1152.14
P9140663819da,CL0000067,2016-08-14,2432.06
P8aeab6428248,CL0000067,2016-10-14,1275.79
P64142e335ce3,CL0000067,2017-08-14,3644.47
P0efb2891902e,CL0000068,2017-06-13,1248.57
P942b023a7582,CL0000069,2017-08-02,2780.58
P1be18c210ee2,CL0000069,2017-12-02,1812.56
Pf8c11023f79b,CL0000069,2018-02-02,2513.57
P4c7c965c796c,CL0000070,2019-11-27,18202.36
P9f8ce9034a10,CL0000070,2020-08-27,13711.01
P970386389216,CL0000070,2020-10-27,64131.07
Pb31461ced112,CL0000070,2021-10-27,3888.12
P7ead9b950210,CL0000070,2021-11-27,14784.26
Pead7e880f63a,CL0000071,2023-07-25,7775.84
Pde9e98045a2b,CL0000071,2023-10-25,902.83
P610d6c66870c,CL0000071,2023-12-25,16045.94
P2ca18fe8af06,CL0000072,2018-08-28,2261.02
P60a1c9d02b24,CL0000072,2019-03-28,936.29
P3ba454c8ee2d,CL0000073,2019-02-24,4066.22
Pfa58bbcf62d2,CL0000073,2019-04-24,2357.42
P7f7876376f01,CL0000073,2019-06-24,1631.97
P615fb8f1f962,CL0000073,2019-11-24,547.31
P5073f8bb2989,CL0000074,2018-03-13,8105.76
P8af2de26e68b,CL0000074,2019-02-13,3462.89
P26ceebd1d59c,CL0000074,2019-06-13,11644.88
P246c9c2c8139,CL0000074,2019-08-13,1520.97
P444cee5872ee,CL0000074,2020-01-13,1882.89
Pafcf7811e1b2,CL0000074,2020-06-13,4662.39
Pf58c5d6721fa,CL0000075,2018-08-20,4736.21
P4b99d98afdea,CL0000075,2019-04-20,1123.59
Pf594b596abef,CL0000075,2019-07-20,2505.92
P9ba61af5d91a,CL0000076,2022-06-19,3688.97
P79ef7cfa7ce2,CL0000076,2022-10-19,2749.64
P8c1c47434f14,CL0000076,2023-02-19,231.63
P16d69c2d3662,CL0000076,2023-03-19,361.77
P54116b472084,CL0000076,2023-05-19,3445.84
P3a0e864fbe21,CL0000076,2023-07-19,1819.18
P42f4df884199,CL0000076,2024-07-19,3901.53
P154cd653a570,CL0000077,2018-06-17,7266.64
Pd3d278a87e37,CL0000077,2018-10-17,21530.78
P766a108338b8,CL0000077,2018-11-17,30050.58
Pac01c156a7d2,CL0000077,2019-12-17,17604.66
P910fb0c6c9f6,CL0000078,2018-07-13,138.57
Pe013c4de01c4,CL0000078,2019-01-13,4343.71
P2b7c5bb75560,CL0000078,2019-03-13,7727.88
P5aa3f15fe29e,CL0000078,2019-04-13,1111.13
Pe393a5519dff,CL0000079,2022-10-10,2397.59
P3f5fcd4a6459,CL0000079,2023-01-10,2538.87
Pb51891182c84,CL0000079,2023-02-10,4795.29
P6af19084c4ab,CL0000080,2022-03-12,5815.49
P3f6f8cc52315,CL0000080,2022-07-12,22685.14
Pa75b6cbc088c,CL0000081,2024-06-26,1164.74
P4040d037c298,CL0000081,2024-07-26,146.85
Paae160639e27,CL0000082,2024-11-07,5121.64
Pdfa1d3109a48,CL0000083,2019-08-05,2499.51
P9c7e6def7853,CL0000083,2020-06-05,486.98
P3fadfdfaf229,CL0000083,2020-08-05,4212.29
P35f5a1a404c0,CL0000083,2020-11-05,9255.54
Pf3deb1079a83,CL0000083,2020-12-05,9713.98
P68b7436ccaf3,CL0000083,2021-02-05,3137.27
P92d488a869ca,CL0000083,2021-12-05,2362.5
P170272921c25,CL0000084,2023-07-21,2633.3
P821d63cb8dee,CL0000084,2023-10-21,2482.99
Pd72f59f21c69,CL0000085,2018-11-16,5234.53
P98a0b56ef9b4,CL0000085,2019-09-16,4701.23
P2d67e57f5ddc,CL0000085,2019-12-16,17952.68
Pc0159da7e0d3,CL0000086,2019-04-27,225.0
P1cd07fe8d89a,CL0000086,2019-11-27,4442.9
P69668ab82181,CL0000087,2019-09-16,385.03
P0b5b32027a4a,CL0000087,2020-02-16,2006.17
Pa7bd2784197e,CL0000087,2020-06-16,63.37
Pa9ef3cc3e184,CL0000087,2020-10-16,4969.06
P3398453506d1,CL0000089,2019-03-21,954.05
P08748f2c8a79,CL0000089,2019-04-21,849.46
Pa39137ddb498,CL0000090,2019-08-12,4775.25
P95897427b1cf,CL0000090,2020-01-12,4424.48
Pc57b301ed895,CL0000091,2021-10-17,1806.52
P369cf3f420cc,CL0000092,2022-10-11,11234.71
Pc700048f2249,CL0000092,2022-11-11,6691.8
P1fc0b6d281ed,CL0000093,2020-08-21,10220.79
Pf38bdd9e294a,CL0000093,2021-02-21,2592.76
Peece23ab5366,CL0000093,2021-04-21,594.68
Pe0004a0d84e2,CL0000094,2021-03-21,230.71
P1b8a9dc12a8a,CL0000094,2021-06-21,1599.23
P6982fa66c1a9,CL0000095,2024-07-13,12833.32
Pe569bcab15bb,CL0000095,2024-09-13,8242.88
P28691ddd6f4e,CL0000096,2021-09-01,9240.17
P555d0d6246b1,CL0000096,2021-10-01,524.48
Pa271f8fb8b07,CL0000096,2022-02-01,6825.75
P5551b691c755,CL0000097,2024-01-21,19866.76
Pbf2dd24946cc,CL0000097,2024-03-21,9483.84
P1c65db8362ae,CL0000097,2024-06-21,18157.42
P717d4aee2993,CL0000097,2024-10-21,10717.38
P83ed7a4d0c81,CL0000098,2023-02-28,16235.67
P8a72cde045d3,CL0000098,2024-02-28,1619.92
P87220ae30f01,CL0000099,2017-12-23,2492.93
Pd95281c2e91f,CL0000099,2018-10-23,2693.7
Pcc490ce08813,CL0000099,2019-01-23,7402.73
P064316359793,CL0000100,2019-07-02,9381.16
P1999ff6f514b,CL0000100,2020-03-02,40644.0
Pd47e8ae2e429,CL0000100,2020-04-02,3746.79
P1d2973d6dc1b,CL0000101,2021-06-06,1514.24
P0a775eb121eb,CL0000101,2021-07-06,50.35
P9147f9afe227,CL0000101,2021-10-06,707.65
P14d78fe18d7e,CL0000101,2022-02-06,2541.23
P6203a33959a2,CL0000102,2023-06-09,27112.08
P396fb2fdb7b5,CL0000102,2024-02-09,1443.92
P1f66eddd3038,CL0000102,2024-03-09,1542.68
P5785133799a9,CL0000103,2017-12-05,93.8
P5f45a81cec42,CL0000103,2018-01-05,1316.19
Pba5f4d3139af,CL0000104,2018-04-14,597.11
P9654fe2352a5,CL0000104,2018-05-14,1508.44
P98e21e806a62,CL0000105,2019-09-07,1928.19
Pa552d781d7e6,CL0000105,2019-10-07,3528.32
P61f0d19edccb,CL0000105,2020-04-07,1115.63
P9b78f25f6e3d,CL0000105,2020-10-07,719.74
P6401f2336239,CL0000106,2020-05-22,1663.29
Pd9f82ba84848,CL0000106,2020-08-22,210.23
Pcd3c65e545b3,CL0000106,2020-10-22,11660.26
P6208a3f854d7,CL0000107,2020-10-25,23240.87
P6072f73e28ac,CL0000107,2021-05-25,837.06
P19fc8cd88688,CL0000107,2022-03-25,57899.87
Pc7b228d2b11c,CL0000108,2024-11-18,2380.93
Pb0d5328a8a40,CL0000109,2023-06-20,2632.6
P9ce19019d5bc,CL0000109,2024-01-20,650.69
P410396e8bb0b,CL0000109,2024-03-20,259.84
Pfea9d0abf8bd,CL0000109,2024-08-20,4010.38
P7b8d3ae649d1,CL0000110,2017-05-26,847.15
Pf323305566c6,CL0000110,2017-06-26,310.48
P921dba591f29,CL0000110,2017-08-26,305.9
Pd69e17b19408,CL0000110,2017-11-26,5122.64
P0d17e35c7efd,CL0000111,2024-12-01,584.64
P4b6253221e07,CL0000112,2018-06-11,337.0
Pd6e6e47710c1,CL0000112,2019-04-11,1739.89
P317cba0b5b12,CL0000112,2019-06-11,1012.14
Pd203e195aab3,CL0000113,2023-05-03,1957.71
P243fdb1a9386,CL0000113,2023-12-03,2932.47
P0231bda442b1,CL0000114,2023-04-13,755.02
P993956ce52ae,CL0000114,2023-05-13,3321.05
P151f73dcb746,CL0000115,2017-09-19,165.86
P9a0b98aad750,CL0000115,2018-02-19,5919.32
Pa9a15ef1ef8b,CL0000115,2018-05-19,3082.29
Pcddd1d935717,CL0000116,2016-06-22,3112.83
P53728fd26e9b,CL0000116,2016-08-22,588.18
Pe5cf6ede04a4,CL0000117,2016-09-28,259.83
P6f1607d51553,CL0000117,2017-02-28,1777.94
P51230b1d7aa8,CL0000117,2017-04-28,1214.15
P1980596ee48b,CL0000119,2018-11-19,1895.75
Pa3a3783a8ee7,CL0000119,2019-06-19,1676.69
Pae694ece023e,CL0000120,2023-05-27,3066.63
P752bbdf9fa3f,CL0000120,2023-12-27,374.88
P065afd996890,CL0000121,2019-02-10,6000.21
P7863f69a2302,CL0000121,2019-04-10,2436.64
P0490f6f86fd7,CL0000121,2019-07-10,327.73
Pa147e34a4e72,CL0000122,2020-10-24,3635.93
Pf15593570bc2,CL0000122,2021-03-24,1546.13
P3bf15a2f3e8c,CL0000122,2021-05-24,2991.98
P676c1f7fd36c,CL0000122,2021-09-24,362.02
Pa8dca7c7c759,CL0000122,2021-11-24,3412.12
Pcaba8ce2f0e7,CL0000122,2022-03-24,334.01
Pcb0dace1f3cd,CL0000122,2022-06-24,7831.58
Pca663b502b1e,CL0000126,2023-06-16,12674.0
P24f2ad951cac,CL0000126,2024-02-16,17962.73
P8dec524ca912,CL0000127,2023-02-07,3790.75
Pad597beb3f05,CL0000127,2023-04-07,15245.11
P20696b76a283,CL0000127,2024-02-07,5600.12
Pd4e07b9e3528,CL0000128,2023-09-01,78.3
P9c643480723e,CL0000128,2024-05-01,3631.62
P36329c0e9419,CL0000128,2024-07-01,8.63
P9fb1e7f6bd1a,CL0000129,2024-01-03,11287.33
P8de8653ca8ff,CL0000129,2024-08-03,692.62
P92e1e84547e6,CL0000129,2024-09-03,166.39
Pd93dc4e93e30,CL0000129,2024-10-03,334.45
Pf5fee630fb96,CL0000130,2024-09-05,7524.42
Pab61eaba1f86,CL0000131,2021-04-07,3923.12
Pa5a1d2412123,CL0000131,2021-07-07,1636.36
P3c07a6a6aa64,CL0000132,2020-09-20,381.24
P84fe4d0bb1ee,CL0000132,2020-10-20,5122.8
Pa04e266c4201,CL0000132,2020-12-20,2152.08
P4ad7935fe0e1,CL0000132,2021-09-20,647.96
Pe73fea1015d6,CL0000133,2021-02-13,6976.97
P07045f3e8daa,CL0000133,2021-09-13,2686.95
Paa0e3d5ae913,CL0000133,2021-12-13,1676.27
P08846ad6a140,CL0000134,2021-04-03,3469.21
Pa1321cd19b04,CL0000134,2021-12-03,1956.92
P86f4539c64cd,CL0000134,2022-02-03,90.99
P5e767f336b1f,CL0000135,2019-12-17,854.7
Pa561cc332202,CL0000135,2020-01-17,2369.28
P25657e9d1726,CL0000135,2020-02-17,5912.67
Pc965437dfe75,CL0000135,2020-08-17,1258.95
P0141886aac5c,CL0000136,2021-12-03,5196.36
Pdb38236a7d1e,CL0000136,2022-05-03,229.49
Pcc77d62df77c,CL0000136,2022-08-03,3579.08
P73959b0da67a,CL0000136,2022-12-03,8817.04
P4294cbfb0bbc,CL0000137,2022-09-07,1236.4
P70b6f2eeb129,CL0000137,2023-02-07,335.1
Pfb76049199e4,CL0000137,2023-04-07,198.63
P75fd467e5b10,CL0000137,2023-06-07,2347.99
Pc32315381ca3,CL0000139,2019-12-09,56.9
P8786dc372a96,CL0000139,2020-02-09,3289.18
Pe061dafa74cd,CL0000139,2020-08-09,1871.5
P069f55215dc7,CL0000140,2020-07-09,3692.06
P80d6213e671b,CL0000140,2020-09-09,3775.1
Pefcf9bac93be,CL0000141,2019-12-25,13893.53
Pd0a0f95dd2eb,CL0000141,2021-06-25,33509.6
P8d9b9918810e,CL0000141,2022-02-25,134399.75
P2741318b0f44,CL0000142,2023-12-01,1177.93
Pebd8b092d3b5,CL0000142,2024-02-01,8267.58
P8718aaeedd44,CL0000142,2024-04-01,1070.0
Pb4ef12802b48,CL0000142,2024-07-01,5616.6
P92dba869bdfa,CL0000143,2018-03-28,1204.78
P0cb4fa39f189,CL0000143,2018-05-28,421.63
P1662c663ccdb,CL0000144,2020-09-14,2793.26
P91f2c2735b13,CL0000144,2020-11-14,517.09
Pf26d073e4b79,CL0000144,2021-04-14,1982.25
P0fb802f3222e,CL0000144,2021-06-14,5004.18
P33bc1e1fd582,CL0000145,2020-02-16,12182.49
P433338311ea0,CL0000145,2020-12-16,8141.64
P77a8fb40a1d0,CL0000145,2021-04-16,13063.39
Pf7cf77d4edf3,CL0000145,2021-05-16,16103.35
P5e8399508ed5,CL0000145,2022-01-16,5212.26
P7f44d66bc2b9,CL0000145,2022-02-16,39990.91
P9a488ba74ed6,CL0000146,2020-02-18,1825.6
P47cc0847ed85,CL0000147,2017-06-28,4957.88
P1892918f2fbc,CL0000147,2018-04-28,998.37
P2be43bf3aa24,CL0000147,2018-05-28,3337.08
P695ed9011feb,CL0000147,2018-09-28,4014.95
P8218cf772feb,CL0000147,2018-11-28,545.9
P014780005499,CL0000147,2019-09-28,9294.33
P37e486fefa37,CL0000148,2019-11-14,1980.41
P21c4e822bbd9,CL0000148,2020-03-14,4994.28
P360fec8972ae,CL0000148,2020-04-14,1603.49
Pd32c9237499e,CL0000148,2020-08-14,2087.26
Pa76f1888709e,CL0000149,2017-07-11,2878.19
P572dd8f81727,CL0000149,2018-03-11,7375.64
Pca302f033afa,CL0000149,2018-04-11,6410.71
Pd56a9eea2890,CL0000150,2018-06-27,635.6
Pa45c2c08b26a,CL0000150,2018-09-27,161.19
P5d8f24d5d8bc,CL0000150,2019-04-27,1919.78
Pb7bc87d77821,CL0000151,2020-09-17,874.78
Pa4b0ec455ff3,CL0000151,2021-02-17,331.62
P9b4140e0f9ef,CL0000152,2021-11-14,3888.81
P77ddc81df19e,CL0000152,2022-02-14,367.69
P6d37508a7dfd,CL0000152,2022-05-14,868.63
P7fb84899f1b9,CL0000152,2023-04-14,1996.32
Pc609a746de0d,CL0000152,2023-07-14,2979.44
P3ac931427213,CL0000152,2023-08-14,690.68
Pbd324209a30f,CL0000152,2023-12-14,6603.06
P8d8ce4046025,CL0000153,2024-08-28,17319.15
Pbd7d1972a258,CL0000154,2021-02-28,1272.71
P282b1081dcbb,CL0000154,2021-03-28,3555.16
P9f6e092f3b7d,CL0000154,2021-05-28,530.99
P34c2ec93bdb4,CL0000154,2021-07-28,481.57
Pe9d94ef68938,CL0000155,2024-08-17,4879.0
Pf12cca3bd73c,CL0000155,2024-11-17,30.73
P2c019bfa6976,CL0000156,2020-05-23,892.14
P71753fddf192,CL0000156,2021-02-23,4047.4
P44fd1ebaac19,CL0000156,2021-03-23,1345.49
Pf4a64b16d0a9,CL0000156,2021-07-23,872.86
Pd13a45607559,CL0000156,2021-10-23,936.51
Pcedcd4e34e42,CL0000156,2022-01-23,3935.92
Pf4c9ca28b4fe,CL0000157,2021-11-01,6828.77
P447258167b52,CL0000157,2021-12-01,22326.06
P7bfb7008717d,CL0000157,2022-12-01,20336.96
P3804a66c7929,CL0000158,2019-10-04,3513.02
P11108e378157,CL0000158,2020-06-04,194.07
P970a64ca7e34,CL0000158,2020-10-04,2257.81
P2a43289b5072,CL0000159,2017-09-17,927.36
Pf184cda976ca,CL0000159,2017-12-17,1467.99
Pea11d13fcf38,CL0000160,2024-10-08,3320.36
P7e221425fac3,CL0000160,2024-11-08,5268.85
P6b6cea6d0888,CL0000161,2024-04-07,3239.84
P3d0730bd67a7,CL0000161,2024-11-07,4045.18
P9b36bba7f1b6,CL0000162,2023-11-18,712.91
P1a3ebdd1708e,CL0000162,2024-04-18,170.29
P3ca720d368e0,CL0000162,2024-05-18,1254.96
P3e3428e6e5e7,CL0000163,2018-06-27,5611.16
P514bfe00b865,CL0000163,2018-10-27,8893.14
P7149941253fb,CL0000163,2019-01-27,683.31
P0a90e25e9094,CL0000164,2022-02-13,676.19
P4e8f02dff4e1,CL0000164,2022-07-13,3131.79
P1ca8affb80d0,CL0000164,2022-11-13,5669.37
P43cf15576baf,CL0000164,2023-04-13,1375.9
P03c301adb0ce,CL0000165,2015-06-07,4279.76
Pa83ad456ac7b,CL0000166,2015-11-19,6043.16
Pacb0af214782,CL0000166,2016-11-19,7437.11
P766420eb2110,CL0000166,2016-12-19,4184.62
P7eec58b42a38,CL0000167,2017-09-26,332.81
P2ccac9eaeebf,CL0000167,2018-06-26,7052.99
Pc13b6b89ef4a,CL0000167,2018-08-26,1106.07
P59a8fa571613,CL0000167,2018-09-26,1209.52
Pcae6f8f33ae8,CL0000168,2022-03-12,11592.71
P2e66c15d4e1a,CL0000168,2022-09-12,102.92
Pea13bada32b7,CL0000168,2022-11-12,317.9
P684bdbd24cae,CL0000168,2022-12-12,2441.79
P6f9ff7c8c67a,CL0000169,2019-10-02,13812.91
P8dd506765a82,CL0000169,2019-11-02,3513.59
Pc9c524db4f74,CL0000169,2020-07-02,3580.58
P68068fd66b5d,CL0000170,2017-11-06,312.56
P3b3ba2618e38,CL0000170,2017-12-06,671.74
P7cb9275e82c0,CL0000171,2020-11-03,4962.0
Pb00fda621755,CL0000171,2021-02-03,6974.07
P4df4243cc59d,CL0000172,2020-07-16,11374.92
P7899f71f3793,CL0000174,2019-01-22,688.34
P5b28502e11df,CL0000174,2019-03-22,441.7
Pb9c3b176d443,CL0000174,2019-04-22,2234.03
P2d1eab09c5fd,CL0000174,2021-03-22,5766.4
Pb42fb387639c,CL0000175,2019-04-09,2678.9
P41270d83774d,CL0000175,2019-10-09,2044.41
P19e0bddd3d3f,CL0000175,2020-03-09,4975.95
Pfe20616dfeba,CL0000176,2021-04-10,400.72
P74bbc581afe1,CL0000176,2021-11-10,147.4
P2c6b690f552d,CL0000176,2022-02-10,3470.6
P6b1455f55460,CL0000176,2022-03-10,1862.42
P641d4e84dfd6,CL0000176,2022-07-10,1870.37
Pf8d220be8f57,CL0000176,2022-10-10,2987.99
Pde9dd9e2e5a7,CL0000176,2023-06-10,3695.97
P7fe18b3b1f0c,CL0000177,2022-09-17,9706.82
P4fb1d9e2916e,CL0000177,2022-11-17,8377.46
Pff4a0ed2abe8,CL0000177,2023-09-17,3535.6
P9fbaff8ab015,CL0000178,2023-05-17,2827.73
P246fb4637918,CL0000178,2024-03-17,3834.07
P846973806984,CL0000179,2019-12-18,2068.91
P2704a8bab103,CL0000179,2020-02-18,1882.97
P9ec36904c947,CL0000179,2020-06-18,1285.68
P84238ff9e993,CL0000179,2020-07-18,137.56
P884e4d56c427,CL0000180,2017-09-09,1988.99
Pa58b9809bc22,CL0000182,2017-04-21,10982.31
P3eb6adadd5c2,CL0000182,2017-10-21,8198.09
P91d1fed95c7d,CL0000182,2017-11-21,20606.33
Pe34f11c97341,CL0000182,2018-11-21,17995.6
Pbe2a2da17496,CL0000182,2019-02-21,17112.46
P73020cb7f3d8,CL0000182,2019-03-21,19813.94
P22efab5d4075,CL0000183,2017-05-24,12540.3
Pa3667938ec0f,CL0000183,2018-04-24,2090.75
Pacf66c87cdd4,CL0000183,2018-08-24,2080.42
Pe5a16a17189d,CL0000184,2023-04-13,950.56
Pcc6af035e7b0,CL0000184,2023-05-13,1612.91
P01739820bfc6,CL0000184,2023-08-13,4216.85
P27e6a5cf2379,CL0000185,2023-10-14,153.02
Pfe4759092414,CL0000185,2024-02-14,2815.89
P4a2844fc8fb2,CL0000185,2024-04-14,382.73
P64cad073cab1,CL0000185,2024-08-14,1299.28
P4888c1956aac,CL0000186,2020-11-02,519.62
P7cec1e08b009,CL0000186,2020-12-02,8646.06
P812631a6dad5,CL0000186,2021-11-02,1052.86
P698cc377a158,CL0000186,2022-01-02,696.38
P032b9f8749b0,CL0000187,2023-05-22,57.04
P57177ad2757d,CL0000187,2024-03-22,28254.99
